1.026190042495727539e+00,1.022543668746948242e+00
8.175808191299438477e-01,4.686427116394042969e-01
-6.884430646896362305e-01,2.663836956024169922e+00
-6.125590205192565918e-01,3.180894613265991211e+00
9.156605005264282227e-01,1.699425816535949707e+00
-6.907008886337280273e-01,2.838729619979858398e+00
4.354769587516784668e-01,5.580411553382873535e-01
-6.468334197998046875e-01,1.176913499832153320e+00
1.107063651084899902e+00,2.683618068695068359e+00
1.372417092323303223e+00,2.532572507858276367e+00
-7.168036699295043945e-01,2.706250190734863281e+00
1.368876934051513672e+00,8.144611120223999023e-01
-1.200833469629287720e-01,1.826892495155334473e+00
6.741704940795898438e-01,1.267027616500854492e+00
-9.296073913574218750e-01,2.682148218154907227e+00
-8.060162067413330078e-01,1.780337929725646973e+00
-5.913506150245666504e-01,2.950290441513061523e+00
1.003194600343704224e-02,1.658030271530151367e+00
8.722134679555892944e-02,1.648978710174560547e+00
7.284827232360839844e-01,2.690473496913909912e-01
-2.432790771126747131e-02,1.618533849716186523e+00
1.227727293968200684e+00,1.199999094009399414e+00
-1.225754804909229279e-02,1.148629069328308105e+00
1.033174276351928711e+00,2.503345966339111328e+00
9.634450674057006836e-01,3.406640291213989258e-01
-4.947134852409362793e-01,3.144502043724060059e-01
1.294406771659851074e+00,1.355278730392456055e+00
-7.334548830986022949e-01,2.682913780212402344e+00
-4.804788529872894287e-01,1.495948672294616699e+00
5.262169837951660156e-01,1.279460787773132324e+00
5.726096779108047485e-02,1.115465879440307617e+00
-1.120740294456481934e+00,6.009547710418701172e+00
7.642235606908798218e-02,9.679120182991027832e-01
-9.887316226959228516e-01,2.555572748184204102e+00
9.561652541160583496e-01,3.350670337677001953e-01
-5.248962044715881348e-01,4.104294300079345703e+00
7.951769232749938965e-01,1.536315321922302246e+00
-9.766747355461120605e-01,1.488799929618835449e+00
1.638415813446044922e+00,1.472445964813232422e+00
5.168231725692749023e-01,1.266415834426879883e+00
1.417204260826110840e+00,1.474565267562866211e+00
-6.188267469406127930e-01,2.907258272171020508e+00
-1.925216197967529297e+00,1.438018321990966797e+00
2.036225080490112305e+00,1.511848092079162598e+00
6.531871110200881958e-02,1.106102228164672852e+00
1.640096902847290039e+00,-4.897803068161010742e-03
4.975133538246154785e-01,1.277218341827392578e+00
2.041145414113998413e-01,2.266461402177810669e-01
1.511523127555847168e+00,2.808716297149658203e+00
3.830227255821228027e-01,2.129123210906982422e-01
7.427003234624862671e-02,1.132317662239074707e+00
1.868893206119537354e-02,1.261371970176696777e+00
1.101629972457885742e+00,1.198296546936035156e+00
-5.507967472076416016e-01,5.332038402557373047e+00
8.961902260780334473e-01,8.440406322479248047e-01
1.502662062644958496e+00,1.693157196044921875e+00
9.812916517257690430e-01,1.129569768905639648e+00
1.003069281578063965e+00,1.061974167823791504e+00
-9.768753498792648315e-02,2.513704299926757812e+00
8.511767387390136719e-01,3.978620767593383789e-01
-8.096534013748168945e-01,1.764772415161132812e+00
1.974470466375350952e-01,7.234057188034057617e-01
4.589806199073791504e-01,1.903441548347473145e+00
-1.128482103347778320e+00,2.357979774475097656e+00
2.611612379550933838e-01,2.466845989227294922e+00
9.636089205741882324e-01,-4.454793334007263184e-01
-1.034929513931274414e+00,2.360016584396362305e+00
